数据编号,槽开口宽度Bs0（mm）,永磁体轴向长度/动子极距            a,气隙厚度gap（mm）,线圈径向宽度rcoil（mm）,永磁体径向长度rpm（mm）,平均推力(解析法),推力波动（解析法）,铜损（解析法）
1,1,0.5,0.7,8,4.8,57.75447198,31.71411129,17.38962291
2,3,0.5,0.7,8,4.8,47.60884642,25.95380421,17.38962291
3,1,0.5,0.7,9,4.8,65.44972573,20.9207825,19.56583905
4,3,0.5,0.7,9,4.8,53.93116411,29.53105695,19.56583905
5,1,0.5,0.7,10,4.8,73.27528236,23.48989176,21.74261369
6,3,0.5,0.7,10,4.8,60.36051073,19.2377378,21.74261369
7,1,0.5,0.9,8,4.8,49.24807031,26.88449429,17.51830254
8,3,0.5,0.9,8,4.8,40.62922728,21.99103728,17.51830254
9,1,0.5,0.9,9,4.8,55.79221263,30.58760171,19.71060364
10,3,0.5,0.9,9,4.8,46.00704227,25.03241585,19.71060364
11,1,0.5,0.9,10,4.8,62.44714424,19.92475629,21.90346323
12,3,0.5,0.9,10,4.8,51.47587501,28.1249919,21.90346323
13,1,0.5,1.1,8,4.8,45.48479639,24.74784798,17.58264236
14,3,0.5,1.1,8,4.8,37.54083608,20.23756416,17.58264236
15,1,0.5,1.1,9,4.8,51.51968136,28.16202254,19.78298593
16,3,0.5,1.1,9,4.8,42.50072085,23.04182534,19.78298593
17,1,0.5,1.1,10,4.8,57.65672269,31.63366007,21.98388801
18,3,0.5,1.1,10,4.8,47.54453862,25.89329884,21.98388801
19,1,0.5,1.3,8,4.8,42.01450423,22.77754577,17.64698218
20,3,0.5,1.3,8,4.8,34.6925503,18.62041393,17.64698218
21,1,0.5,1.3,9,4.8,47.579779,25.92528174,19.85536823
22,3,0.5,1.3,9,4.8,39.26699662,21.2059923,19.85536823
23,1,0.5,1.3,10,4.8,53.23924933,29.1260027,22.06431278
24,3,0.5,1.3,10,4.8,43.91884199,23.83510764,22.06431278
25,1,0.5,0.7,8,5.2,67.41926712,21.55275928,17.90434145
26,3,0.5,0.7,8,5.2,55.58205018,30.44658958,17.90434145
27,1,0.5,0.7,9,5.2,76.42163515,24.50648267,20.1448974
28,3,0.5,0.7,9,5.2,62.98270536,20.08620587,20.1448974
29,1,0.5,0.7,10,5.2,85.57630937,27.50989595,22.38601187
30,3,0.5,0.7,10,5.2,70.50854212,22.55423027,22.38601187
31,1,0.5,0.9,8,5.2,57.45986976,31.51157316,18.03302108
32,3,0.5,0.9,8,5.2,47.40353585,25.8082401,18.03302108
33,1,0.5,0.9,9,5.2,65.11461572,20.78742494,20.28966199
34,3,0.5,0.9,9,5.2,53.69754311,29.36580859,20.28966199
35,1,0.5,0.9,10,5.2,72.89884623,23.34038179,22.54686141
36,3,0.5,0.9,10,5.2,60.09799115,32.98325003,22.54686141
37,1,0.5,1.1,8,5.2,53.05414566,29.01291787,18.0973609
38,3,0.5,1.1,8,5.2,43.78506953,23.75606891,18.0973609
39,1,0.5,1.1,9,5.2,60.11274601,19.1422308,20.36204429
40,3,0.5,1.1,9,5.2,49.58945629,27.0361279,20.36204429
41,1,0.5,1.1,10,5.2,67.29073534,21.49591988,22.62728618
42,3,0.5,1.1,10,5.2,55.49199223,30.3713958,22.62728618
43,1,0.5,1.3,8,5.2,48.99163743,26.70891348,18.16170072
44,3,0.5,1.3,8,5.2,40.44816879,21.86358439,18.16170072
45,1,0.5,1.3,9,5.2,55.50053327,30.38827758,20.43442658
46,3,0.5,1.3,9,5.2,45.80103415,24.88772785,20.43442658
47,1,0.5,1.3,10,5.2,62.11950897,19.79514573,22.70771095
48,3,0.5,1.3,10,5.2,51.24440229,27.96277913,22.70771095
49,1,0.5,0.7,8,5.6,77.56342095,24.86772492,18.41905999
50,3,0.5,0.7,8,5.6,63.95283534,20.39453797,18.41905999
51,1,0.5,0.7,9,5.6,87.93772562,28.26972207,20.72395576
52,3,0.5,0.7,9,5.6,72.48559151,23.19163825,20.72395576
53,1,0.5,0.7,10,5.6,98.48742925,31.72894313,23.02941004
54,3,0.5,0.7,10,5.6,81.16258546,26.03579611,23.02941004
55,1,0.5,0.9,8,5.6,66.07787814,21.0929439,18.54773962
56,3,0.5,0.9,8,5.6,54.51473341,29.81492867,18.54773962
57,1,0.5,0.9,9,5.6,74.89815827,23.98448772,20.86872035
58,3,0.5,0.9,9,5.6,61.77048924,19.67030023,20.86872035
59,1,0.5,0.9,10,5.6,83.86754142,26.92467639,23.19025958
60,3,0.5,0.9,10,5.6,69.1488745,22.08794968,23.19025958
61,1,0.5,1.1,8,5.6,60.99742908,19.42322894,18.61207944
62,3,0.5,1.1,8,5.6,50.33941421,27.44899848,18.61207944
63,1,0.5,1.1,9,5.6,69.13031092,22.08898176,20.94110265
64,3,0.5,1.1,9,5.6,57.03023824,31.22844226,20.94110265
65,1,0.5,1.1,10,5.6,77.40066418,24.79958462,23.27068436
66,3,0.5,1.1,10,5.6,63.83413237,20.34146303,23.27068436
67,1,0.5,1.3,8,5.6,56.31299502,30.83390739,18.67641926
68,3,0.5,1.3,8,5.6,46.48924939,25.2673159,18.67641926
69,1,0.5,1.3,9,5.6,63.81206044,20.34122824,21.01348494
70,3,0.5,1.3,9,5.6,52.65913586,28.75173669,21.01348494
71,1,0.5,1.3,10,5.6,71.43787237,22.84014124,23.35110913
72,3,0.5,1.3,10,5.6,58.93327755,32.29480105,23.35110913
73,1,0.5,0.7,8,6,88.18665024,28.33898841,18.93377853
74,3,0.5,0.7,8,6,72.72052289,23.25953449,18.93377853
75,1,0.5,0.7,9,6,99.99767561,32.21039506,21.30301412
76,3,0.5,0.7,9,6,82.43905181,26.44406043,21.30301412
77,1,0.5,0.7,10,6,112.0082815,36.14691485,23.67280822
78,3,0.5,0.7,10,6,92.32177668,29.68215531,23.67280822
79,1,0.5,0.9,8,6,75.1018477,24.04161971,19.06245817
80,3,0.5,0.9,8,6,61.96225301,19.72625593,19.06245817
81,1,0.5,0.9,9,6,85.14255899,27.33190491,21.44777871
82,3,0.5,0.9,9,6,70.22523711,22.43298626,21.44777871
83,1,0.5,0.9,10,6,95.35291442,30.67753651,23.83365776
84,3,0.5,0.9,10,6,78.62780359,25.18525533,23.83365776
85,1,0.5,1.1,8,6,69.31441495,22.14088546,19.12679798
86,3,0.5,1.1,8,6,57.20335192,31.31606309,19.12679798
87,1,0.5,1.1,9,6,78.57211301,25.17413955,21.520161
88,3,0.5,1.1,9,6,64.82247842,20.6586949,21.520161
89,1,0.5,1.1,10,6,87.98621428,28.25842019,23.91408253
90,3,0.5,1.1,10,6,72.57029954,23.19605981,23.91408253
91,1,0.5,1.3,8,6,63.97836027,20.38839479,19.1911378
92,3,0.5,1.3,8,6,52.81531833,28.83134345,19.1911378
93,1,0.5,1.3,9,6,72.51411449,23.18466435,21.5925433
94,3,0.5,1.3,9,6,59.84076391,32.79771797,21.5925433
95,1,0.5,1.3,10,6,81.19406369,26.02797752,23.9945073
96,3,0.5,1.3,10,6,66.98486483,21.36188495,23.9945073
97,1,0.5,0.7,8,6.4,99.28873974,31.96647924,19.44849707
98,3,0.5,0.7,8,6.4,81.88461109,26.25384916,19.44849707
99,1,0.5,0.7,9,6.4,112.6012407,36.32842158,21.88207248
100,3,0.5,0.7,9,6.4,92.8425167,29.84328811,21.88207248
101,1,0.5,0.7,10,6.4,126.1385921,40.76372137,24.31620639
102,3,0.5,0.7,10,6.4,103.9854773,33.49310126,24.31620639
103,1,0.5,0.9,8,6.4,84.53158915,27.12267786,19.57717671
104,3,0.5,0.9,8,6.4,69.74567279,22.26943456,19.57717671
105,1,0.5,0.9,9,6.4,95.84760303,30.82960615,22.02683707
106,3,0.5,0.9,9,6.4,79.06130784,25.320072,22.02683707
107,1,0.5,0.9,10,6.4,107.3547243,34.59888324,24.47705594
108,3,0.5,0.9,10,6.4,88.53424159,28.42202814,24.47705594
109,1,0.5,1.1,8,6.4,78.00492581,24.9804038,19.64151652
110,3,0.5,1.1,8,6.4,64.37649575,20.50708708,19.64151652
111,1,0.5,1.1,9,6.4,88.43795084,28.39763821,22.09921936
112,3,0.5,1.1,9,6.4,72.96573766,23.31940707,22.09921936
113,1,0.5,1.1,10,6.4,99.04715977,31.87235262,24.55748071
114,3,0.5,1.1,10,6.4,81.70000138,26.17904043,24.55748071
115,1,0.5,1.3,8,6.4,71.98756686,23.00530085,19.70585634
116,3,0.5,1.3,8,6.4,59.4260207,32.5554688,19.70585634
117,1,0.5,1.3,9,6.4,81.60650657,26.15544747,22.17160166
118,3,0.5,1.3,9,6.4,67.34551545,21.47475905,22.17160166
119,1,0.5,1.3,10,6.4,91.38787119,29.35858523,24.63790548
120,3,0.5,1.3,10,6.4,75.39871251,24.11096657,24.63790548
121,1,0.5,0.7,8,6.8,110.8695245,35.75014351,19.96321561
122,3,0.5,0.7,8,6.8,91.44472494,29.37736077,19.96321561
123,1,0.5,0.7,9,6.8,125.7482338,40.62374045,22.46113084
124,3,0.5,0.7,9,6.8,103.6955605,33.38918368,22.46113084
125,1,0.5,0.7,10,6.8,140.8781513,45.57929406,24.95960457
126,3,0.5,0.7,10,6.8,116.1532101,37.46847967,24.95960457
127,1,0.5,0.9,8,6.8,94.36695669,30.33607069,20.09189525
128,3,0.5,0.9,8,6.8,77.86467523,24.92209183,20.09189525
129,1,0.5,0.9,9,6.8,107.0131248,34.47753733,22.60589543
130,3,0.5,0.9,9,6.8,88.27834097,28.33144087,22.60589543
131,1,0.5,0.9,10,6.8,119.8727856,38.68865594,25.12045411
132,3,0.5,0.9,10,6.8,98.86778441,31.79813738,25.12045411
133,1,0.5,1.1,8,6.8,87.06882456,27.94173914,20.15623506
134,3,0.5,1.1,8,6.8,71.85855348,22.95163603,20.15623506
135,1,0.5,1.1,9,6.8,98.72766877,31.75942686,22.67827772
136,3,0.5,1.1,9,6.8,81.45968424,26.09452571,22.67827772
137,1,0.5,1.1,10,6.8,110.5833262,35.64132488,25.20087888
138,3,0.5,1.1,10,6.8,91.22286606,29.29028455,25.20087888
139,1,0.5,1.3,8,6.8,80.34048588,25.73434234,20.22057488
140,3,0.5,1.3,8,6.8,66.32108759,21.1349343,20.22057488
141,1,0.5,1.3,9,6.8,91.08909036,29.2535298,22.75066002
142,3,0.5,1.3,9,6.8,75.17308521,24.03215636,22.75066002
143,1,0.5,1.3,10,6.8,102.0191308,32.83191076,25.28130365
144,3,0.5,1.3,10,6.8,84.17447837,26.97811871,25.28130365
145,1,0.6,0.7,8,4.8,70.83429177,23.99501608,17.38962291
146,3,0.6,0.7,8,4.8,57.99422121,19.77051213,17.38962291
147,1,0.6,0.7,9,4.8,80.55203668,27.19647116,19.56583905
148,3,0.6,0.7,9,4.8,65.97452771,22.40069907,19.56583905
149,1,0.6,0.7,10,4.8,90.43454324,30.45167974,21.74261369
150,3,0.6,0.7,10,4.8,74.09016707,25.07503835,21.74261369
151,1,0.6,0.9,8,4.8,60.0687853,20.45306323,17.51830254
152,3,0.6,0.9,8,4.8,49.16097562,29.07636427,17.51830254
153,1,0.6,0.9,9,4.8,68.3298089,23.17554968,19.71060364
154,3,0.6,0.9,9,4.8,55.94602233,32.93358257,19.71060364
155,1,0.6,0.9,10,4.8,76.73092015,25.94373974,21.90346323
156,3,0.6,0.9,10,4.8,62.84615652,21.3762118,21.90346323
157,1,0.6,1.1,8,4.8,55.30607231,32.56221702,17.58264236
158,3,0.6,1.1,8,4.8,45.2523787,26.859183,17.58264236
159,1,0.6,1.1,9,4.8,62.92263524,21.39667425,19.78298593
160,3,0.6,1.1,9,4.8,51.5085384,30.41657792,19.78298593
161,1,0.6,1.1,10,4.8,70.66836992,23.94940492,21.98388801
162,3,0.6,1.1,10,4.8,57.87082729,19.7395289,21.98388801
163,1,0.6,1.3,8,4.8,50.9141503,30.07086592,17.64698218
164,3,0.6,1.3,8,4.8,41.64765367,24.81437536,17.64698218
165,1,0.6,1.3,9,4.8,57.93642569,19.75628942,19.85536823
166,3,0.6,1.3,9,4.8,47.41604443,28.09525653,19.85536823
167,1,0.6,1.3,10,4.8,65.07780676,22.11033484,22.06431278
168,3,0.6,1.3,10,4.8,53.28230252,31.43118807,22.06431278
169,1,0.6,0.7,8,5.2,83.05695875,27.98887985,17.90434145
170,3,0.6,0.7,8,5.2,68.0776297,23.06543882,17.90434145
171,1,0.6,0.7,9,5.2,94.42773653,31.73041423,20.1448974
172,3,0.6,0.7,9,5.2,77.42165151,26.1411897,20.1448974
173,1,0.6,0.7,10,5.2,105.9910981,35.53477907,22.38601187
174,3,0.6,0.7,10,5.2,86.92395933,29.2685814,22.38601187
175,1,0.6,0.9,8,5.2,70.45390425,23.84647832,18.03302108
176,3,0.6,0.9,8,5.2,57.72818203,19.66375807,18.03302108
177,1,0.6,0.9,9,5.2,80.11944437,27.02784704,20.28966199
178,3,0.6,0.9,9,5.2,65.67188712,22.27950894,20.28966199
179,1,0.6,0.9,10,5.2,89.9487114,30.26263167,22.54686141
180,3,0.6,0.9,10,5.2,73.75018138,24.93916954,22.54686141
181,1,0.6,1.1,8,5.2,64.87870939,22.01401018,18.0973609
182,3,0.6,1.1,8,5.2,53.1492174,31.30816074,18.0973609
183,1,0.6,1.1,9,5.2,73.78990602,24.94757924,20.36204429
184,3,0.6,1.1,9,5.2,60.47337245,20.5709637,20.36204429
185,1,0.6,1.1,10,5.2,82.85206417,27.9303995,22.62728618
186,3,0.6,1.1,10,5.2,67.92163234,23.02368338,22.62728618
187,1,0.6,1.3,8,5.2,59.73783483,20.32429547,18.16170072
188,3,0.6,1.3,8,5.2,48.9265581,28.91520631,18.16170072
189,1,0.6,1.3,9,5.2,67.95345302,23.02936901,20.43442658
190,3,0.6,1.3,9,5.2,55.67937247,32.75063166,20.43442658
191,1,0.6,1.3,10,5.2,76.30826183,25.7798535,22.70771095
192,3,0.6,1.3,10,5.2,62.54662319,21.25724792,22.70771095
193,1,0.6,0.7,8,5.6,95.88575147,32.1804923,18.41905999
194,3,0.6,0.7,8,5.6,78.66375664,26.52436547,18.41905999
195,1,0.6,0.7,9,5.6,108.9915269,36.488847,20.72395576
196,3,0.6,0.7,9,5.6,89.43947461,30.06785757,20.72395576
197,1,0.6,0.7,10,5.6,122.3190857,40.86955856,23.02941004
198,3,0.6,0.7,10,5.6,100.3975742,33.67085168,23.02941004
199,1,0.6,0.9,8,5.6,81.35265462,27.40746572,18.54773962
200,3,0.6,0.9,8,5.6,66.72136509,22.60219025,18.54773962
201,1,0.6,0.9,9,5.6,92.49216824,31.07037706,20.86872035
202,3,0.6,0.9,9,5.6,75.88133191,25.6152973,20.86872035
203,1,0.6,0.9,10,5.6,103.8202154,34.79479746,23.19025958
204,3,0.6,0.9,10,5.6,85.19635767,28.67899232,23.19025958
205,1,0.6,1.1,8,5.6,74.92416801,25.29619255,18.61207944
206,3,0.6,1.1,8,5.6,61.43817392,20.86706029,18.61207944
207,1,0.6,1.1,9,5.6,85.19393668,28.67360218,20.94110265
208,3,0.6,1.1,9,5.6,69.88334907,23.64553044,20.94110265
209,1,0.6,1.1,10,5.6,95.63753128,32.10772252,23.27068436
210,3,0.6,1.1,10,5.6,78.47149585,26.47064509,23.27068436
211,1,0.6,1.3,8,5.6,68.99677431,23.34949063,18.67641926
212,3,0.6,1.3,8,5.6,56.56641304,19.26705415,18.67641926
213,1,0.6,1.3,9,5.6,78.46459364,26.46365306,21.01348494
214,3,0.6,1.3,9,5.6,64.35246114,21.82915983,21.01348494
215,1,0.6,1.3,10,5.6,88.09267774,29.63010188,23.35110913
216,3,0.6,1.3,10,5.6,72.27033489,24.43427364,23.35110913
217,1,0.6,0.7,8,6,109.3203116,36.56973577,18.93377853
218,3,0.6,0.7,8,6,89.75174402,30.1470139,18.93377853
219,1,0.6,0.7,9,6,124.2430008,41.4716359,21.30301412
220,3,0.6,0.7,9,6,102.0270231,34.18038687,21.30301412
221,1,0.6,0.7,10,6,139.4180499,46.45586843,23.67280822
222,3,0.6,0.7,10,6,114.5099199,38.28149514,23.67280822
223,1,0.6,0.9,8,6,92.76472292,31.13592254,19.06245817
224,3,0.6,0.9,8,6,76.13980833,25.6793554,19.06245817
225,1,0.6,0.9,9,6,105.4476246,35.30302292,21.44777871
226,3,0.6,0.9,9,6,86.57354342,29.1085791,21.44777871
227,1,0.6,0.9,10,6,118.345033,39.54010613,23.83365776
228,3,0.6,0.9,10,6,97.18377363,32.59538433,23.83365776
229,1,0.6,1.1,8,6,85.44215496,28.73253674,19.12679798
230,3,0.6,1.1,8,6,70.11859337,23.70309481,19.12679798
231,1,0.6,1.1,9,6,97.13439439,32.57463382,21.520161
232,3,0.6,1.1,9,6,79.73772485,26.86507417,21.520161
233,1,0.6,1.1,10,6,109.0243981,36.48125148,23.91408253
234,3,0.6,1.1,10,6,89.51958439,30.08014357,23.91408253
235,1,0.6,1.3,8,6,78.69069456,26.51659772,19.1911378
236,3,0.6,1.3,8,6,64.5666197,21.88084683,19.1911378
237,1,0.6,1.3,9,6,89.46953627,30.05903941,21.5925433
238,3,0.6,1.3,9,6,73.43463071,24.79640857,21.5925433
239,1,0.6,1.3,10,6,100.4307055,33.66096545,23.9945073
240,3,0.6,1.3,10,6,82.45267561,27.76091886,23.9945073
241,1,0.6,0.7,8,6.4,123.3603668,41.15652109,19.44849707
242,3,0.6,0.7,8,6.4,101.3409579,33.93317883,19.44849707
243,1,0.6,0.7,9,6.4,140.1818493,46.67867969,21.88207248
244,3,0.6,0.7,9,6.4,115.1835773,38.47854456,21.88207248
245,1,0.6,0.7,10,6.4,108.5284744,52.2935952,24.31620639
246,3,0.6,0.7,10,6.4,129.2601896,43.1002505,24.31620639
247,1,0.6,0.9,8,6.4,104.6898697,35.03177037,19.57717671
248,3,0.6,0.9,8,6.4,85.98297873,28.89508081,19.57717671
249,1,0.6,0.9,9,6.4,118.9855417,39.72569564,22.02683707
250,3,0.6,0.9,9,6.4,97.74791657,32.75915828,22.02683707
251,1,0.6,0.9,10,6.4,133.5228596,44.49845792,24.47705594
252,3,0.6,0.9,10,6.4,109.7117509,36.68812575,24.47705594
253,1,0.6,1.1,8,6.4,96.43244579,32.32296925,19.64151652
254,3,0.6,1.1,8,6.4,79.18998685,26.66667833,19.64151652
255,1,0.6,1.1,9,6.4,109.6110243,36.65059073,22.09921936
256,3,0.6,1.1,9,6.4,90.03594482,30.22941501,22.09921936
257,1,0.6,1.1,10,6.4,123.0123788,41.05089286,24.55748071
258,3,0.6,1.1,10,6.4,101.0652758,33.85197714,24.55748071
259,1,0.6,1.3,8,6.4,88.81938514,29.82554785,19.70585634
260,3,0.6,1.3,8,6.4,72.92672965,24.6120523,19.70585634
261,1,0.6,1.3,9,6.4,100.968042,33.81544985,22.17160166
262,3,0.6,1.3,9,6.4,82.92537213,27.89694751,22.17160166
263,1,0.6,1.3,10,6.4,113.3220773,37.87235654,24.63790548
264,3,0.6,1.3,10,6.4,93.09307466,31.23699856,24.63790548
265,1,0.6,0.7,8,6.8,138.0057085,45.9407801,19.96321561
266,3,0.6,0.7,8,6.8,113.4309246,37.882707,19.96321561
267,1,0.6,0.7,9,6.8,108.1974065,52.109901,22.46113084
268,3,0.6,0.7,9,6.8,128.9085994,42.96215665,22.46113084
269,1,0.6,0.7,10,6.8,121.3900461,58.38265213,24.95960457
270,3,0.6,0.7,10,6.8,144.6477805,48.12692272,24.95960457
271,1,0.6,0.9,8,6.8,117.1279107,39.09494896,20.09189525
272,3,0.6,0.9,8,6.8,96.25047512,32.24923661,20.09189525
273,1,0.6,0.9,9,6.8,133.1057101,44.33832678,22.60589543
274,3,0.6,0.9,9,6.8,109.4039959,36.56688742,22.60589543
275,1,0.6,0.9,10,6.8,149.3534605,49.66977612,25.12045411
276,3,0.6,0.9,10,6.8,122.7797791,40.95705131,25.12045411
277,1,0.6,1.1,8,6.8,107.8948671,36.06743344,20.15623506
278,3,0.6,1.1,8,6.8,88.65198519,29.75769131,20.15623506
279,1,0.6,1.1,9,6.8,122.6236296,40.90140859,22.67827772
280,3,0.6,1.1,9,6.8,100.7775899,33.73841725,22.67827772
281,1,0.6,1.1,10,6.8,137.6012529,45.81657455,25.20087888
282,3,0.6,1.1,10,6.8,113.1081003,37.78599366,25.20087888
283,1,0.6,1.3,8,6.8,99.38268308,33.27628778,20.22057488
284,3,0.6,1.3,8,6.8,81.64640311,27.46056053,20.22057488
285,1,0.6,1.3,9,6.8,112.9599259,37.73282393,22.75066002
286,3,0.6,1.3,9,6.8,92.8242997,31.13065174,22.75066002
287,1,0.6,1.3,10,6.8,126.7665856,42.26420735,25.28130365
288,3,0.6,1.3,10,6.8,104.1910997,34.86237267,25.28130365
289,1,0.7,0.7,8,4.8,88.7330922,28.40842869,17.38962291
290,3,0.7,0.7,8,4.8,73.09191227,23.26647207,17.38962291
291,1,0.7,0.7,9,4.8,100.5923098,32.29790511,19.56583905
292,3,0.7,0.7,9,4.8,82.83479252,26.46061572,19.56583905
293,1,0.7,0.7,10,4.8,112.652071,36.25280888,21.74261369
294,3,0.7,0.7,10,4.8,92.7423964,29.70850046,21.74261369
295,1,0.7,0.9,8,4.8,75.61905026,24.09725556,17.51830254
